affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,atk,iori,marina,tshiroko,hoshino,nagisa,sshiroko,marina,tshiroko,hoshino,iori,sayane,sshiroko,0,85.0
indoor,atk,iori,marina,tshiroko,hoshino,nagisa,sshiroko,tshiroko,marina,hoshino,iori,sayane,sshiroko,0,85.0
indoor,atk,reisa,tshiroko,shun,marina,sayane,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,1,62.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,haruka,tshiroko,hoshino,hibiki,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,haruka,tshiroko,hoshino,hibiki,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,nyharuna,hoshino,shun,tshiroko,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,yuuka,tshiroko,hoshino,shun,nagisa,sshiroko,1,
indoor,atk,shun,marina,hoshino,iori,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,62.0
indoor,atk,marina,shun,tshiroko,hoshino,nagisa,sshiroko,tshiroko,hoshino,iori,marina,sayane,sshiroko,1,43.0
indoor,atk,tshiroko,hoshino,marina,iori,nagisa,sshiroko,tshiroko,hoshino,iori,marina,sayane,sshiroko,0,43.0
indoor,atk,tshiroko,hoshino,marina,iori,nagisa,sshiroko,tshiroko,hoshino,iori,marina,sayane,sshiroko,0,43.0
indoor,atk,tshiroko,marina,shun,hoshino,nagisa,sshiroko,tshiroko,hoshino,iori,marina,sayane,sshiroko,1,30.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,haruka,tshiroko,hoshino,reisa,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,shun,tshiroko,iori,nagisa,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,haruka,iori,marina,minori,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,nyharuna,shun,tshiroko,nagisa,sshiroko,0,
indoor,atk,hoshino,iori,shun,tshiroko,nagisa,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,0,104.0
indoor,atk,hoshino,iori,shun,tshiroko,nagisa,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,1,72.0
indoor,atk,tshiroko,iori,shun,hoshino,nagisa,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,0,72.0
indoor,atk,reisa,tshiroko,hoshino,shun,minori,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,0,72.0
indoor,atk,reisa,tshiroko,hoshino,shun,minori,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,0,72.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,yuuka,iori,nyserika,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,hoshino,miyako,tshiroko,minori,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,iori,shun,hoshino,nagisa,sshiroko,1,
indoor,atk,reisa,iori,tshiroko,hoshino,nyserika,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,1,68.0
indoor,atk,haruka,tshiroko,tsurugi,hoshino,nagisa,sshiroko,tshiroko,marina,iori,hoshino,sayane,sshiroko,1,49.0
indoor,atk,marina,yuuka,iori,shun,iroha,sshiroko,tshiroko,marina,iori,hoshino,sayane,sshiroko,1,37.0
indoor,atk,marina,iori,shun,tshiroko,nagisa,sshiroko,tshiroko,marina,iori,hoshino,sayane,sshiroko,0,37.0
indoor,atk,marina,iori,shun,tshiroko,nagisa,sshiroko,tshiroko,marina,iori,hoshino,sayane,sshiroko,1,27.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,marina,shun,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,hoshino,marina,shun,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,marina,hoshino,haruka,nagisa,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,iori,tshiroko,marina,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,marina,tshiroko,iori,sayane,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,marina,hoshino,tshiroko,reisa,sayane,sshiroko,1,
